IEBC_WARDS,COUNT,FIRST_PROV,FIRST_DIST,FIRST_DIVI,PCODE,STATUS,NO,SHAPE_1,STATUS_1
Got Kachola,5,Nyanza,Migori,Nyatike,KE0001,,1287,Polygon,done
Kachieng',8,Nyanza,Migori,Karungu,KE0003,,1282,Polygon,
Kendu Bay Town,6,Nyanza,Rachuonyo,East Karachuonyo,KE0004,,1236,Polygon,
Abakaile,2,North Eastern,Garissa,Dadaab,KE0005,,151,Polygon,
Abogeta East,10,Eastern,Meru Central,Abogeta,KE0006,,293,Polygon,
Abogeta West,3,Eastern,Meru Central,Abogeta,KE0007,,294,Polygon,
Abothuguchi Central,10,Eastern,Meru Central,Abothuguchi Central,KE0008,,286,Polygon,
Abothuguchi West,22,Eastern,Meru Central,Abothuguchi West,KE0009,,287,Polygon,
Adamsajide,3,North Eastern,Wajir,Hadado,KE0010,,178,Polygon,spelling
Adu,8,Coast,Malindi,Malindi,KE0011,,83,Polygon,
Baraki,2,North Eastern,Garissa,Shant-abak,KE0012,,145,Polygon,done
Ageng'a/Nanguba,7,Western,Busia,Funyula,KE0013,,1150,Polygon,spelling
Ahero,7,Nyanza,Nyando,Kadibo,KE0014,,1208,Polygon,
Ainabkoi/Olare,11,Rift Valley,Uasin Gishu,Ainabkoi,KE0015,,721,Polygon,
Ainamoi,2,Rift Valley,Kericho,Ainamoi,KE0016,,945,Polygon,
Airbase,1,Nairobi,Nairobi,Pumwani,KE0017,,1437,Polygon,
Airport,1,Coast,Mombasa,Changamwe,KE0018,,3,Polygon,
Akachiu,8,Eastern,Meru North,Igembe South West,KE0019,,254,Polygon,
Akirang'ondu,2,Eastern,Meru North,Laare,KE0020,,256,Polygon,
Akithi,10,Eastern,Meru North,Akithi,KE0021,,267,Polygon,spelling
Alale,15,Rift Valley,West Pokot,Alale,KE0022,,656,Polygon,
Alango Gof,1,North Eastern,Mandera,Lafey,KE0023,,220,Polygon,spelling
Amalo,5,Rift Valley,Nakuru,Gilgil,KE0024,,849,Polygon,
Amuathi,2,Eastern,Meru North,Mutuati,KE0025,,265,Polygon,spelling
Amukura Central,5,Western,Teso,Amukura,KE0026,,1132,Polygon,
Amukura East,9,Western,Teso,Amukura,KE0027,,1131,Polygon,
Amukura West,6,Western,Teso,Amukura,KE0028,,1130,Polygon,
Angata Barikoi,5,Rift Valley,Transmara,Lolgorian,KE0029,,883,Polygon,done
Ang'orom,3,Western,Teso,Chakol,KE0030,,1127,Polygon,
Ang'urai East,7,Western,Teso,Ang'urai,KE0031,,1125,Polygon,spelling
Ang'urai North,8,Western,Teso,Ang'urai,KE0032,,1124,Polygon,
