Ministry,State Department,Agency / Institution
Executive Office of the President,Executive Office of the President,National Security Council
Executive Office of the President,Executive Office of the President,National Intelligence Service
Executive Office of the President,Executive Office of the President,Kenya International Boundaries Office
Executive Office of the President,Executive Office of the President,Joint Security Secretariat
Executive Office of the President,Executive Office of the President,National Counter Terrorism Centre
Executive Office of the President,Executive Office of the President,Power of Mercy Advisory Committee
Executive Office of the President,Executive Office of the President,Government Press
Executive Office of the President,Executive Office of the President,National and County Government Summit
Executive Office of the President,Executive Office of the President,Betting Control and Licensing Board
Executive Office of the President,Executive Office of the President,President’s Council of Economic Advisors
Executive Office of the President,Executive Office of the President,President’s Budget Office
Executive Office of the President,Executive Office of the President,President’s Economic Transformation Secretariat
Executive Office of the President,Executive Office of the President,Presidential Advisory Council on Science and Technology
Executive Office of the President,Executive Office of the President,Directorate of Resource Surveys and Remote Sensing
Executive Office of the President,Executive Office of the President,Integrated Natural Resources Management Secretariat
Executive Office of the President,Executive Office of the President,Office of the Government Spokesperson
Executive Office of the President,Executive Office of the President,Public Entities Oversight Office
Executive Office of the President,Executive Office of the President,State Corporations Advisory Committee
Executive Office of the President,Executive Office of the President,Inspectorate of State Corporations
Executive Office of the President,Executive Office of the President,Public Service Travel Support Unit
Executive Office of the President,Executive Office of the President,Government Efficiency Office
Executive Office of the President,Executive Office of the President,Government Delivery Unit
Office of the Prime Cabinet Secretary & Ministry of Foreign & Diaspora Affairs,State Department for National Government Coordination,National Economic and Social Council
Office of the Prime Cabinet Secretary & Ministry of Foreign & Diaspora Affairs,State Department for National Government Coordination,Public Service Performance Management Unit
Office of the Prime Cabinet Secretary & Ministry of Foreign & Diaspora Affairs,State Department for National Government Coordination,National Government Coordination Secretariat
Office of the Prime Cabinet Secretary & Ministry of Foreign & Diaspora Affairs,State Department for National Government Coordination,Directorate of National Cohesion and Values
Office of the Prime Cabinet Secretary & Ministry of Foreign & Diaspora Affairs,State Department for Foreign Affairs,Kenya Foreign Service Institute
Office of the Prime Cabinet Secretary & Ministry of Foreign & Diaspora Affairs,State Department for Foreign Affairs,Kenya Missions Abroad
Office of the Prime Cabinet Secretary & Ministry of Foreign & Diaspora Affairs,State Department for Diaspora Affairs,Diaspora Placement Agency
Office of the Prime Cabinet Secretary & Ministry of Foreign & Diaspora Affairs,State Department for Diaspora Affairs,Diaspora Investment Support Office
Ministry of Interior and National Administration,State Department for Internal Security and National Administration,National Government Administration Officers
Ministry of Interior and National Administration,State Department for Internal Security and National Administration,National Crime Research Centre
Ministry of Interior and National Administration,State Department for Internal Security and National Administration,Government Chemist
Ministry of Interior and National Administration,State Department for Internal Security and National Administration,Public Benefit Organizations Regulatory Authority
Ministry of Interior and National Administration,State Department for Internal Security and National Administration,National Authority for Campaign Against Alcohol and Drug Abuse
Ministry of Interior and National Administration,State Department for Internal Security and National Administration,Independent Policing Oversight Authority
Ministry of Interior and National Administration,State Department for Internal Security and National Administration,Private Security Regulatory Authority
Ministry of Interior and National Administration,State Department for Internal Security and National Administration,National Cohesion and Integration Commission
Ministry of Interior and National Administration,State Department for Internal Security and National Administration,Kenya Coast Guard Service
Ministry of Interior and National Administration,State Department for Internal Security and National Administration,Firearms Licensing Board
Ministry of Interior and National Administration,State Department for Internal Security and National Administration,National Computer Coordination Committee
Ministry of Defence,Defence,Kenya Defence Forces
Ministry of Defence,Defence,National Defence Council
Ministry of Defence,Defence,National Defence University of Kenya
Ministry of Defence,Defence,Defence Staff College
Ministry of Defence,Defence,Kenya Ordnance Factory Corporation
Ministry of Defence,Defence,Kenya Space Agency
Ministry of Defence,Defence,Kenya Meat Commission
Ministry of Defence,Defence,Kenya Shipyards Limited
National Treasury,National Treasury,Central Bank of Kenya
National Treasury,National Treasury,Kenya Revenue Authority
National Treasury,National Treasury,Capital Markets Authority
National Treasury,National Treasury,Insurance Regulatory Authority
National Treasury,National Treasury,Competition Authority of Kenya
National Treasury,National Treasury,Kenya Deposit Insurance Corporation
National Treasury,National Treasury,Nairobi International Financial Centre
National Treasury,National Treasury,Kenya Reinsurance Corporation
National Treasury,National Treasury,Financial Reporting Centre
National Treasury,State Department for Economic Planning,Kenya Vision 2030 Board
National Treasury,State Department for Economic Planning,Kenya Institute for Public Policy Research and Analysis
National Treasury,State Department for Economic Planning,Kenya National Bureau of Statistics
Ministry of Roads and Transport,State Department for Roads,Kenya Roads Board
Ministry of Roads and Transport,State Department for Roads,Kenya National Highways Authority
Ministry of Roads and Transport,State Department for Roads,Kenya Urban Roads Authority
Ministry of Roads and Transport,State Department for Roads,Kenya Rural Roads Authority
Ministry of Roads and Transport,State Department for Transport,Kenya Railways Corporation
Ministry of Roads and Transport,State Department for Transport,Kenya Ports Authority
Ministry of Roads and Transport,State Department for Transport,National Transport and Safety Authority
Ministry of Roads and Transport,State Department for Transport,Nairobi Metropolitan Area Transport Authority
Ministry of Roads and Transport,State Department for Aviation,Kenya Airports Authority
Ministry of Roads and Transport,State Department for Aviation,Kenya Civil Aviation Authority
"Ministry of Information, Communications and Digital Economy",State Department for ICT and Digital Economy,Kenya ICT Authority
"Ministry of Information, Communications and Digital Economy",State Department for ICT and Digital Economy,Konza Technopolis Development Authority
"Ministry of Information, Communications and Digital Economy",State Department for ICT and Digital Economy,Office of the Data Protection Commissioner
"Ministry of Lands, Public Works, Housing and Urban Development",State Department for Housing and Urban Development,National Housing Corporation
"Ministry of Lands, Public Works, Housing and Urban Development",State Department for Housing and Urban Development,Affordable Housing Board
"Ministry of Lands, Public Works, Housing and Urban Development",State Department for Public Works,National Construction Authority
